IID	sire
HG00285	EUR
HG00288	EUR
HG00290	EUR
HG00304	EUR
HG00306	EUR
HG00308	EUR
HG00309	EUR
HG00310	EUR
HG00311	EUR
HG00313	EUR
HG00315	EUR
HG00318	EUR
HG00319	EUR
HG00320	EUR
HG00321	EUR
HG00323	EUR
HG00324	EUR
HG00325	EUR
HG00326	EUR
HG00327	EUR
HG00328	EUR
HG00329	NA
HG00330	EUR
HG00331	NA
HG00332	EUR
HG00334	EUR
HG00335	EUR
HG00336	EUR
HG00337	EUR
HG00338	EUR
HG00339	EUR
HG00341	EUR
HG00342	EUR
HG00343	NA
HG00344	EUR
HG00345	EUR
HG00346	NA
HG00349	NA
HG00350	EUR
HG00351	EUR
HG00353	EUR
HG00355	EUR
HG00356	EUR
HG00357	NA
HG00358	EUR
HG00360	EUR
HG00361	EUR
HG00362	EUR
HG00364	EUR
HG00365	EUR
HG00366	NA
HG00367	EUR
HG00368	NA
HG00369	NA
HG00371	EUR
HG00372	EUR
HG00373	EUR
HG00375	EUR
HG00376	EUR
HG00378	EUR
HG00379	EUR
HG00380	EUR
HG00381	EUR
HG00382	EUR
HG00383	EUR
HG00384	EUR
HG00551	NA
HG00553	HIS
HG00554	HIS
HG00637	HIS
HG00638	HIS
HG00640	HIS
HG00641	HIS
HG00731	HIS
HG00732	HIS
HG00734	NA
HG00736	HIS
HG00737	HIS
HG00739	HIS
HG00740	HIS
HG00742	HIS
HG00743	HIS
HG01047	HIS
HG01048	HIS
HG01049	HIS
HG01051	HIS
HG01052	HIS
HG01054	HIS
HG01055	HIS
HG01058	HIS
HG01060	NA
HG01061	HIS
HG01063	HIS
HG01064	HIS
HG01066	HIS
HG01067	HIS
HG01069	HIS
HG01070	HIS
HG01072	HIS
HG01073	NA
HG01075	HIS
HG01077	HIS
HG01079	HIS
HG01080	HIS
HG01082	HIS
HG01083	HIS
HG01085	HIS
HG01086	HIS
HG01088	HIS
HG01089	HIS
HG01092	HIS
HG01094	HIS
HG01095	HIS
HG01097	HIS
HG01098	HIS
HG01101	HIS
HG01102	NA
HG01104	HIS
HG01105	HIS
HG01107	HIS
HG01108	HIS
HG01110	HIS
HG01111	HIS
HG01161	HIS
HG01162	HIS
HG01164	HIS
HG01167	HIS
HG01168	HIS
HG01170	NA
HG01171	HIS
HG01173	HIS
HG01174	HIS
HG01176	HIS
HG01177	HIS
HG01182	HIS
HG01183	HIS
HG01187	HIS
HG01188	HIS
HG01190	HIS
HG01191	HIS
HG01197	HIS
HG01198	HIS
HG01200	HIS
HG01204	HIS
HG01205	HIS
HG01241	HIS
HG01242	NA
HG01247	HIS
HG01248	HIS
HG01286	HIS
HG01302	NA
HG01303	HIS
HG01305	HIS
HG01308	HIS
HG01311	HIS
HG01312	HIS
HG01323	HIS
HG01325	HIS
HG01326	HIS
HG01334	EUR
HG01392	HIS
HG01393	HIS
HG01395	NA
HG01396	HIS
HG01398	HIS
HG01402	HIS
HG01403	HIS
HG01405	HIS
HG01412	HIS
HG01413	HIS
HG01414	HIS
HG01583	ASN
HG01586	ASN
HG01589	ASN
HG01593	ASN
HG01789	EUR
HG01790	EUR
HG01791	EUR
HG01879	AFR
HG01880	AFR
HG01882	AFR
HG01883	AFR
HG01885	AFR
HG01886	AFR
HG01889	AFR
HG01890	AFR
HG01894	AFR
HG01896	AFR
HG01912	AFR
HG01914	AFR
HG01915	AFR
HG01956	AFR
HG01958	AFR
HG01985	AFR
HG01986	AFR
HG01988	AFR
HG01989	AFR
HG01990	AFR
HG02009	AFR
HG02010	AFR
HG02012	AFR
HG02013	AFR
HG02014	AFR
HG02051	AFR
HG02052	AFR
HG02053	AFR
HG02054	AFR
HG02095	AFR
HG02107	AFR
HG02108	AFR
HG02111	AFR
HG02143	AFR
HG02144	AFR
HG02215	EUR
HG02255	AFR
HG02256	AFR
HG02281	AFR
HG02282	AFR
HG02283	AFR
HG02284	AFR
HG02307	AFR
HG02308	AFR
HG02309	NA
HG02314	AFR
HG02315	AFR
HG02317	AFR
HG02318	AFR
HG02322	AFR
HG02323	NA
HG02325	AFR
HG02330	AFR
HG02332	AFR
HG02334	AFR
HG02337	AFR
HG02339	AFR
HG02343	AFR
HG02419	AFR
HG02420	AFR
HG02427	AFR
HG02429	AFR
HG02433	AFR
HG02439	AFR
HG02442	AFR
HG02445	AFR
HG02449	AFR
HG02450	AFR
HG02455	AFR
HG02470	AFR
HG02471	AFR
HG02476	AFR
HG02477	AFR
HG02479	AFR
HG02481	AFR
HG02484	AFR
HG02485	NA
HG02489	AFR
HG02490	ASN
HG02491	ASN
HG02493	ASN
HG02494	ASN
HG02496	AFR
HG02497	NA
HG02501	AFR
HG02502	AFR
HG02505	AFR
HG02508	AFR
HG02511	AFR
HG02536	AFR
HG02537	NA
HG02541	NA
HG02545	AFR
HG02546	AFR
HG02549	AFR
HG02554	AFR
HG02555	AFR
HG02557	NA
HG02558	NA
HG02577	AFR
HG02580	AFR
HG02597	ASN
HG02600	ASN
HG02601	ASN
HG02603	ASN
HG02604	ASN
HG02648	ASN
HG02649	ASN
HG02651	ASN
HG02652	ASN
HG02654	ASN
HG02655	ASN
HG02657	ASN
HG02658	ASN
HG02660	ASN
HG02661	ASN
HG02681	ASN
HG02682	ASN
HG02684	ASN
HG02685	NA
HG02687	NA
HG02688	ASN
HG02690	ASN
HG02691	ASN
HG02694	ASN
HG02696	ASN
HG02697	ASN
HG02699	ASN
HG02700	ASN
HG02724	ASN
HG02725	ASN
HG02727	ASN
HG02728	NA
HG02731	ASN
HG02733	ASN
HG02734	ASN
HG02736	ASN
HG02737	ASN
HG02774	ASN
HG02775	ASN
HG02778	ASN
HG02780	ASN
HG02783	ASN
HG02784	ASN
HG02786	ASN
HG02787	ASN
HG02789	ASN
HG02790	ASN
HG02792	ASN
HG02793	ASN
HG03015	ASN
HG03016	ASN
HG03018	ASN
HG03019	ASN
HG03021	NA
HG03022	ASN
HG03228	ASN
HG03229	ASN
HG03234	ASN
HG03235	ASN
HG03237	ASN
HG03238	ASN
HG03488	ASN
HG03490	ASN
HG03491	ASN
HG03619	ASN
HG03624	ASN
HG03625	ASN
HG03629	NA
HG03631	ASN
HG03634	ASN
HG03636	ASN
HG03640	ASN
HG03649	ASN
HG03652	ASN
HG03653	ASN
HG03660	ASN
HG03663	ASN
HG03667	ASN
HG03668	ASN
HG03702	NA
HG03703	NA
HG03705	ASN
HG03706	ASN
HG03708	ASN
HG03709	ASN
HG03762	ASN
HG03765	NA
HG03767	NA
NA06984	EUR
NA06985	EUR
NA06986	EUR
NA06989	EUR
NA06994	EUR
NA07000	EUR
NA07037	EUR
NA07048	EUR
NA07051	EUR
NA07056	EUR
NA07347	EUR
NA07357	EUR
NA10847	EUR
NA10851	EUR
NA11829	EUR
NA11830	EUR
NA11831	EUR
NA11832	EUR
NA11840	EUR
NA11843	EUR
NA11881	EUR
NA11892	EUR
NA11893	EUR
NA11894	EUR
NA11918	EUR
NA11919	EUR
NA11920	EUR
NA11930	EUR
NA11931	EUR
NA11932	EUR
NA11933	EUR
NA11992	EUR
NA11994	EUR
NA11995	EUR
NA12003	EUR
NA12004	EUR
NA12005	EUR
NA12006	EUR
NA12043	EUR
NA12044	EUR
NA12045	EUR
NA12046	EUR
NA12058	EUR
NA12144	EUR
NA12154	EUR
NA12155	EUR
NA12156	EUR
NA12234	EUR
NA12249	EUR
NA12272	EUR
NA12273	EUR
NA12275	EUR
NA12282	EUR
NA12283	EUR
NA12286	EUR
NA12287	EUR
NA12340	EUR
NA12341	EUR
NA12342	EUR
NA12347	NA
NA12348	EUR
NA12383	EUR
NA12399	EUR
NA12400	EUR
NA12413	EUR
NA12414	EUR
NA12489	EUR
NA12546	NA
NA12716	EUR
NA12717	EUR
NA12718	EUR
NA12748	EUR
NA12749	EUR
NA12750	EUR
NA12751	EUR
NA12760	EUR
NA12761	NA
NA12762	EUR
NA12763	EUR
NA12775	EUR
NA12776	EUR
NA12777	EUR
NA12778	EUR
NA12812	EUR
NA12813	NA
NA12814	NA
NA12815	EUR
NA12827	EUR
NA12828	EUR
NA12829	EUR
NA12830	EUR
NA12842	EUR
NA12843	EUR
NA12872	EUR
NA12873	EUR
NA12874	EUR
NA12878	EUR
NA12889	EUR
NA12890	EUR
NA18525	ASN
NA18526	ASN
NA18528	ASN
NA18530	ASN
NA18531	ASN
NA18532	ASN
NA18533	ASN
NA18534	ASN
NA18535	ASN
NA18536	ASN
NA18537	ASN
NA18538	ASN
NA18539	ASN
NA18541	ASN
NA18542	ASN
NA18543	ASN
NA18544	ASN
NA18545	ASN
NA18546	ASN
NA18547	ASN
NA18548	ASN
NA18549	ASN
NA18550	ASN
NA18552	ASN
NA18553	ASN
NA18555	ASN
NA18557	ASN
NA18558	ASN
NA18559	ASN
NA18560	ASN
NA18561	ASN
NA18562	ASN
NA18563	ASN
NA18564	ASN
NA18565	ASN
NA18566	ASN
NA18567	ASN
NA18570	NA
NA18571	ASN
NA18572	ASN
NA18573	ASN
NA18574	NA
NA18577	ASN
NA18579	NA
NA18582	ASN
NA18591	ASN
NA18592	ASN
NA18593	ASN
NA18595	ASN
NA18596	ASN
NA18597	ASN
NA18599	ASN
NA18602	ASN
NA18603	ASN
NA18605	ASN
NA18606	ASN
NA18608	ASN
NA18609	ASN
NA18610	ASN
NA18611	ASN
NA18612	ASN
NA18613	ASN
NA18614	ASN
NA18615	ASN
NA18616	ASN
NA18617	ASN
NA18618	ASN
NA18619	ASN
NA18620	ASN
NA18621	ASN
NA18622	ASN
NA18623	ASN
NA18624	ASN
NA18625	ASN
NA18626	ASN
NA18627	ASN
NA18628	ASN
NA18629	ASN
NA18630	NA
NA18631	ASN
NA18632	ASN
NA18633	ASN
NA18634	ASN
NA18635	ASN
NA18636	ASN
NA18637	ASN
NA18638	NA
NA18639	ASN
NA18640	ASN
NA18641	ASN
NA18642	ASN
NA18643	ASN
NA18644	ASN
NA18645	ASN
NA18646	ASN
NA18647	NA
NA18648	ASN
NA18740	ASN
NA18745	ASN
NA18747	ASN
NA18748	ASN
NA18749	NA
NA18757	ASN
NA18939	ASN
NA18940	ASN
NA18941	ASN
NA18942	ASN
NA18943	ASN
NA18944	ASN
NA18945	ASN
NA18946	NA
NA18947	ASN
NA18948	ASN
NA18949	ASN
NA18950	ASN
NA18951	ASN
NA18952	ASN
NA18953	ASN
NA18954	ASN
NA18956	ASN
NA18957	ASN
NA18959	ASN
NA18960	NA
NA18961	ASN
NA18962	ASN
NA18963	ASN
NA18964	ASN
NA18965	ASN
NA18966	NA
NA18967	ASN
NA18968	ASN
NA18969	NA
NA18970	ASN
NA18971	ASN
NA18972	ASN
NA18973	ASN
NA18974	ASN
NA18975	ASN
NA18976	ASN
NA18977	ASN
NA18978	ASN
NA18979	ASN
NA18980	ASN
NA18981	ASN
NA18982	ASN
NA18983	ASN
NA18984	ASN
NA18985	ASN
NA18986	NA
NA18987	ASN
NA18988	ASN
NA18989	ASN
NA18990	ASN
NA18991	ASN
NA18992	ASN
NA18993	ASN
NA18994	ASN
NA18995	ASN
NA18997	ASN
NA18998	ASN
NA18999	ASN
NA19000	ASN
NA19001	ASN
NA19002	ASN
NA19003	ASN
NA19004	NA
NA19005	ASN
NA19006	ASN
NA19007	ASN
NA19009	ASN
NA19010	ASN
NA19011	ASN
NA19012	ASN
NA19054	ASN
NA19055	ASN
NA19056	NA
NA19057	ASN
NA19058	ASN
NA19059	ASN
NA19060	ASN
NA19062	ASN
NA19063	ASN
NA19064	ASN
NA19065	ASN
NA19066	ASN
NA19067	NA
NA19068	NA
NA19070	NA
NA19072	ASN
NA19074	ASN
NA19075	ASN
NA19076	ASN
NA19077	ASN
NA19078	ASN
NA19079	NA
NA19080	ASN
NA19081	ASN
NA19082	ASN
NA19083	NA
NA19084	NA
NA19085	ASN
NA19086	ASN
NA19087	ASN
NA19088	NA
NA19089	ASN
NA19090	ASN
NA19091	ASN
NA19625	AFR
NA19648	HIS
NA19649	HIS
NA19651	NA
NA19652	HIS
NA19654	HIS
NA19655	HIS
NA19657	HIS
NA19658	NA
NA19661	HIS
NA19663	HIS
NA19664	HIS
NA19669	HIS
NA19670	HIS
NA19676	HIS
NA19678	NA
NA19679	HIS
NA19681	HIS
NA19682	HIS
NA19684	HIS
NA19700	AFR
NA19701	NA
NA19703	AFR
NA19704	AFR
NA19707	AFR
NA19711	AFR
NA19712	AFR
NA19713	AFR
NA19716	HIS
NA19717	HIS
NA19719	HIS
NA19720	HIS
NA19722	NA
NA19723	HIS
NA19725	HIS
NA19726	HIS
NA19728	HIS
NA19729	HIS
NA19731	HIS
NA19732	HIS
NA19734	HIS
NA19735	HIS
NA19740	HIS
NA19741	HIS
NA19746	HIS
NA19747	HIS
NA19749	NA
NA19750	HIS
NA19752	HIS
NA19755	HIS
NA19756	HIS
NA19758	HIS
NA19759	HIS
NA19761	HIS
NA19762	NA
NA19764	HIS
NA19770	HIS
NA19771	HIS
NA19773	NA
NA19774	HIS
NA19776	HIS
NA19777	HIS
NA19779	HIS
NA19780	HIS
NA19782	NA
NA19783	NA
NA19785	HIS
NA19786	HIS
NA19788	HIS
NA19789	HIS
NA19792	HIS
NA19794	HIS
NA19795	HIS
NA19818	AFR
NA19819	AFR
NA19834	AFR
NA19835	AFR
NA19900	AFR
NA19901	AFR
NA19904	AFR
NA19908	AFR
NA19909	AFR
NA19913	AFR
NA19914	NA
NA19916	AFR
NA19917	AFR
NA19920	AFR
NA19921	AFR
NA19922	AFR
NA19923	AFR
NA19982	AFR
NA19984	AFR
NA20126	AFR
NA20127	AFR
NA20274	AFR
NA20276	AFR
NA20278	AFR
NA20281	NA
NA20282	AFR
NA20287	AFR
NA20289	AFR
NA20291	AFR
NA20294	AFR
NA20296	AFR
NA20298	AFR
NA20299	AFR
NA20314	AFR
NA20317	AFR
NA20318	AFR
NA20320	AFR
NA20321	AFR
NA20332	AFR
NA20334	AFR
NA20339	AFR
NA20340	AFR
NA20342	AFR
NA20346	AFR
NA20348	AFR
NA20351	AFR
NA20355	AFR
NA20356	AFR
NA20357	AFR
NA20359	AFR
NA20362	AFR
NA20412	AFR
NA20502	EUR
NA20503	EUR
NA20504	EUR
NA20505	EUR
NA20506	EUR
NA20507	EUR
NA20508	EUR
NA20509	EUR
NA20510	NA
NA20511	EUR
NA20512	EUR
NA20513	EUR
NA20514	EUR
NA20515	EUR
NA20516	NA
NA20517	EUR
NA20518	EUR
NA20519	EUR
NA20520	EUR
NA20521	EUR
NA20522	EUR
NA20524	EUR
NA20525	EUR
NA20527	EUR
NA20528	EUR
NA20529	EUR
NA20530	EUR
NA20531	EUR
NA20532	EUR
NA20533	EUR
NA20534	EUR
NA20535	EUR
NA20536	EUR
NA20538	EUR
NA20539	NA
NA20540	EUR
NA20541	EUR
NA20542	EUR
NA20543	EUR
NA20544	EUR
NA20581	EUR
NA20582	EUR
NA20585	EUR
NA20586	EUR
NA20587	EUR
NA20588	EUR
NA20589	EUR
NA20752	EUR
NA20753	EUR
NA20754	EUR
NA20755	EUR
NA20756	EUR
NA20757	EUR
NA20758	EUR
NA20759	EUR
NA20760	NA
NA20761	EUR
NA20762	EUR
NA20763	EUR
NA20764	EUR
NA20765	EUR
NA20766	EUR
NA20767	NA
NA20768	EUR
NA20769	EUR
NA20770	EUR
NA20771	EUR
NA20772	EUR
NA20773	EUR
NA20774	EUR
NA20775	EUR
NA20778	EUR
NA20783	EUR
NA20785	EUR
NA20786	EUR
NA20787	EUR
NA20790	EUR
NA20792	EUR
NA20795	EUR
NA20796	EUR
NA20797	EUR
NA20798	EUR
NA20799	EUR
NA20800	EUR
NA20801	EUR
NA20802	EUR
NA20803	EUR
NA20804	EUR
NA20805	NA
NA20806	EUR
NA20807	EUR
NA20808	EUR
NA20809	EUR
NA20810	EUR
NA20811	EUR
NA20812	EUR
NA20813	EUR
NA20814	EUR
NA20815	EUR
NA20818	EUR
NA20819	NA
NA20821	NA
NA20822	EUR
NA20826	EUR
NA20827	EUR
NA20828	EUR
NA20832	EUR
NA20845	ASN
NA20846	ASN
NA20847	ASN
NA20849	ASN
NA20850	ASN
NA20851	ASN
NA20852	ASN
NA20853	ASN
NA20854	ASN
NA20856	ASN
NA20858	ASN
NA20859	ASN
NA20861	ASN
NA20862	ASN
NA20863	ASN
NA20864	ASN
NA20866	ASN
NA20867	ASN
NA20868	ASN
NA20869	ASN
NA20870	ASN
NA20872	ASN
NA20874	ASN
NA20875	NA
NA20876	NA
NA20877	NA
NA20878	ASN
NA20881	ASN
NA20882	NA
NA20884	ASN
NA20885	ASN
NA20886	ASN
NA20887	ASN
NA20888	ASN
NA20889	NA
NA20890	ASN
NA20891	ASN
NA20892	ASN
NA20894	ASN
NA20895	ASN
NA20896	ASN
NA20897	ASN
NA20899	ASN
NA20900	ASN
NA20901	NA
NA20902	ASN
NA20903	ASN
NA20904	ASN
NA20905	ASN
NA20906	ASN
NA20908	ASN
NA20910	ASN
NA20911	ASN
NA21086	ASN
NA21087	ASN
NA21088	ASN
NA21089	ASN
NA21090	NA
NA21091	ASN
NA21092	ASN
NA21093	ASN
NA21094	NA
NA21095	ASN
NA21097	ASN
NA21098	ASN
NA21099	ASN
NA21100	ASN
NA21101	NA
NA21102	ASN
NA21103	ASN
NA21104	ASN
NA21105	ASN
NA21106	ASN
NA21107	ASN
NA21108	ASN
NA21109	ASN
NA21110	ASN
NA21111	ASN
NA21112	NA
NA21113	ASN
NA21114	ASN
NA21115	ASN
NA21116	NA
NA21117	ASN
NA21118	ASN
NA21119	ASN
NA21120	ASN
NA21122	ASN
NA21123	ASN
NA21124	NA
NA21125	ASN
NA21126	ASN
NA21127	NA
NA21128	ASN
NA21129	ASN
NA21130	ASN
NA21133	ASN
NA21135	ASN
NA21137	ASN
NA21141	ASN
NA21142	ASN
NA21143	ASN
NA21144	ASN
